ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_6,feature_7,feature_8
Realme C11 (Rich Grey  32 GB),Realme,838802737,Realme C11 ,https://www.flipkart.com,1500856064,1500856064,1500856064,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1859791190,7499,6749,8999,21082020,https://www.flipkart.com\/realme-c11-rich-grey-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBBVKFEGTZ&lid=LSTMOBFTAYBBVKFEGTZGKVKF9&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYBBVKFEGTZ.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,41,0.6811718197461409,16,874313,,,
Realme C11 (Rich Green  32 GB),Realme,838802737,Realme C11 ,https://www.flipkart.com,-884732369,-884732369,-884732369,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-1859791190,7499,7124,8999,21082020,https://www.flipkart.com\/realme-c11-rich-green-32-gb/p/itm831d19fd9cdc4?pid=MOBFTAYBSAMB6X4F&lid=LSTMOBFTAYBSAMB6X4FGFA8AD&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYBSAMB6X4F.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,16,0.33964404795284764,14,710883,,,
Realme C2 (Diamond Blue  32 GB),Realme,838802737,Realme C2 ,https://www.flipkart.com,68825258,68825258,68825258,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Home,Mobiles & Accessories,Mobiles,-1534665556,6999,5949,7999,21082020,https://www.flipkart.com\/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&lid=LSTMOBFHBZ4ZQB3CTZWY5COWP&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,37,0.045679462654463765,47,336565,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 6 (Comet Blue  64 GB),Realme,838802737,Realme 6 ,https://www.flipkart.com,789295049,789295049,789295049,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,178249235,15999,15199,17999,21082020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKW1ACMFR&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAZ5CXWPRYKW.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,25,0.6526203633256642,40,392350,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 Pro (Lightning Blue  128 GB),Realme,838802737,Realme 6 Pro ,https://www.flipkart.com,-1337021579,-1337021579,-1337021579,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,-502717030,19999,17199,13450,21082020,https://www.flipkart.com\/realme-6-pro-lightning-blue-128-gb/p/itmeab248911af26?pid=MOBFPCX7M72AW7HA&lid=LSTMOBFPCX7M72AW7HADH0Q88&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFPCX7M72AW7HA.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,20,0.6553838772649203,45,855165,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 (Comet White  64 GB),Realme,838802737,Realme 6 ,https://www.flipkart.com,-492713642,-492713642,-492713642,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,178249235,15999,13919,17999,21082020,https://www.flipkart.com\/realme-6-comet-white-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5DSJYBFWU&lid=LSTMOBFTAZ5DSJYBFWUM965E5&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAZ5DSJYBFWU.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,43,0.05663975821302236,39,493156,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6i (Eclipse Black  64 GB),Realme,838802737,Realme 6i ,https://www.flipkart.com,1869352718,1869352718,1869352718,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-428194736,14999,13649,15999,21082020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHQKJAPYF&lid=LSTMOBFTAYNHQKJAPYFJJT6ZI&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYNHQKJAPYF.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,41,0.544070960364076,10,168344,,,
Realme 6i (Lunar White  64 GB),Realme,838802737,Realme 6i ,https://www.flipkart.com,601001227,601001227,601001227,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-428194736,12999,10659,14999,21082020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHTWGSWJ9&lid=LSTMOBFTAYNHTWGSWJ92T90VL&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYNHTWGSWJ9.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,40,0.33076988060549706,32,613683,,,
Realme 6i (Lunar White  64 GB),Realme,838802737,Realme 6i ,https://www.flipkart.com,601001227,601001227,601001227,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-428194736,14999,13649,15999,21082020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNJCYXTYM9&lid=LSTMOBFTAYNJCYXTYM9TBWACV&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYNJCYXTYM9.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,31,0.8889564713566187,14,713179,,,
Realme 6i (Eclipse Black  64 GB),Realme,838802737,Realme 6i ,https://www.flipkart.com,1869352718,1869352718,1869352718,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-428194736,12999,11959,14999,21082020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNKMEGWUKJ&lid=LSTMOBFTAYNKMEGWUKJFGBGKG&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=05b4efb9-4c44-473e-8faf-0e5693698db7.MOBFTAYNKMEGWUKJ.SEARCH&ssid=j4dxltnleo0000001598000729941,1,1,22,0.2896225039398801,38,316524,,,
