ItemName,Brand,BrandHash,ProductName,CompanyURL,ItemHash,MPN,UPC,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,Cat_0,Cat_1,Cat_2,ProductHash,Price,Cost,ListPrice,dt,ImageURL,Availability,OnSale,Inventory,Conversion_PCT,UnitsSold,Revenue,feature_6,feature_7,feature_8
Realme C12 (Power Silver  32 GB),Realme,-1131856215,Realme C12 ,https://www.flipkart.com,1122455354,1122455354,1122455354,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-2129733559,8999,7649,10999,26082020,https://www.flipkart.com\/realme-c12-power-silver-32-gb/p/itm4854d77becc77?pid=MOBFUEPQEEDFBHCE&lid=LSTMOBFUEPQEEDFBHCEUX6BAW&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFUEPQEEDFBHCE.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,31,0.5127427138490899,16,533871,,,
Realme C12 (Power Blue  32 GB),Realme,-1131856215,Realme C12 ,https://www.flipkart.com,1639334072,1639334072,1639334072,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,-2129733559,8999,8099,10999,26082020,https://www.flipkart.com\/realme-c12-power-blue-32-gb/p/itm4854d77becc77?pid=MOBFUEPQHDPFKKQT&lid=LSTMOBFUEPQHDPFKKQTNSWRPL&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFUEPQHDPFKKQT.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,29,0.7598521066529366,36,331716,,,
Realme 5i (Forest Green  64 GB),Realme,-1131856215,Realme 5i ,https://www.flipkart.com,-37308715,-37308715,-37308715,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Home,Mobiles & Accessories,Mobiles,1264556017,10999,9129,10200,26082020,https://www.flipkart.com\/realme-5i-forest-green-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GNW3BU2XE&lid=LSTMOBFNG3GNW3BU2XERAL9TG&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFNG3GNW3BU2XE.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,43,0.19381611011016853,46,366707,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 5i (Aqua Blue  64 GB),Realme,-1131856215,Realme 5i ,https://www.flipkart.com,156486754,156486754,156486754,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Home,Mobiles & Accessories,Mobiles,1264556017,10999,10119,10200,26082020,https://www.flipkart.com\/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFNG3GZXCV63BE.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,29,0.4924985997326171,11,467256,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
Realme 6 (Comet Blue  64 GB),Realme,-1131856215,Realme 6 ,https://www.flipkart.com,-1223725600,-1223725600,-1223725600,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,1068780356,14999,13199,17999,26082020,https://www.flipkart.com\/realme-6-comet-blue-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5CXWPRYKW&lid=LSTMOBFTAZ5CXWPRYKW1ACMFR&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFTAZ5CXWPRYKW.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,35,0.5444415655100967,17,534811,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6i (Eclipse Black  64 GB),Realme,-1131856215,Realme 6i ,https://www.flipkart.com,-1334759147,-1334759147,-1334759147,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,648570673,14999,13199,15999,26082020,https://www.flipkart.com\/realme-6i-eclipse-black-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNHQKJAPYF&lid=LSTMOBFTAYNHQKJAPYFJJT6ZI&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFTAYNHQKJAPYF.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,17,0.20138898615361145,13,989059,,,
Realme 6i (Lunar White  64 GB),Realme,-1131856215,Realme 6i ,https://www.flipkart.com,418858884,418858884,418858884,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,648570673,14999,13049,15999,26082020,https://www.flipkart.com\/realme-6i-lunar-white-64-gb/p/itm0201cc97a2f61?pid=MOBFTAYNJCYXTYM9&lid=LSTMOBFTAYNJCYXTYM9TBWACV&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFTAYNJCYXTYM9.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,11,0.7253983847742292,40,332717,,,
Realme C3 (Frozen Blue  64 GB),Realme,-1131856215,Realme C3 ,https://www.flipkart.com,1917485740,1917485740,1917485740,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Home,Mobiles & Accessories,Mobiles,1344469522,9999,8499,8700,26082020,https://www.flipkart.com\/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRLO2FKJ&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFZHC5QRBG2BSR.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,40,0.8302697303801333,44,181494,,,
Realme 6 (Comet White  64 GB),Realme,-1131856215,Realme 6 ,https://www.flipkart.com,1693000439,1693000439,1693000439,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,1068780356,14999,13799,17999,26082020,https://www.flipkart.com\/realme-6-comet-white-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5DSJYBFWU&lid=LSTMOBFTAZ5DSJYBFWUM965E5&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFTAZ5DSJYBFWU.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,39,0.04710787062528565,30,433876,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
Realme 6 (Comet Blue  128 GB),Realme,-1131856215,Realme 6 ,https://www.flipkart.com,-191003603,-191003603,-191003603,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,Home,Mobiles & Accessories,Mobiles,1068780356,16999,15639,17999,26082020,https://www.flipkart.com\/realme-6-comet-blue-128-gb/p/itm50e6d62dcf5ee?pid=MOBFPCX72FYWY7NF&lid=LSTMOBFPCX72FYWY7NFMSGQ1L&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Realme&fm=organic&iid=569a7ad4-8cb1-40c5-9e34-28551424969c.MOBFPCX72FYWY7NF.SEARCH&ssid=jvwijd6bao0000001598431721045,1,1,33,0.4260504369284961,40,864953,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
